loan_type,interest_rate,employment_type,income_level,credit_score,gender,marital_status,education_level,default_status,total_amount,monthly_payment,application_date_year,approval_date_year,disbursement_date_year,due_date_year,application_date_month_sin,application_date_month_cos,approval_date_month_sin,approval_date_month_cos,disbursement_date_month_sin,disbursement_date_month_cos,due_date_month_sin,due_date_month_cos,application_date_day_sin,application_date_day_cos,approval_date_day_sin,approval_date_day_cos,disbursement_date_day_sin,disbursement_date_day_cos,due_date_day_sin,due_date_day_cos
Car Loan,0.051851709,Self-employed,Medium,833,Male,Single,Master,0,17665.849452655,1177.7232968436665,2018,2018,2018,2018,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,-0.8660254037844385,-0.5000000000000004,0.8660254037844386,0.5000000000000001,-0.9945218953682734,0.10452846326765299,-0.9510565162951536,0.30901699437494723,0.20791169081775931,-0.9781476007338057
Personal Loan,0.089295672,Full-time,Medium,776,Female,Married,Bachelor,0,2026.08994992,36.18017767714286,2022,2022,2023,2023,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,-1.133107779529596e-15,1.0,0.2079116908177585,0.9781476007338058,0.5877852522924732,-0.8090169943749473,0.8660254037844386,0.5000000000000001
Personal Loan,0.070469564,Full-time,Low,697,Male,Divorced,High School,0,83303.94147048,1633.4106170682353,2019,2019,2019,2020,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384,0.8660254037844386,0.5000000000000001,5.66553889764798e-16,-1.0,-0.587785252292473,-0.8090169943749475,-0.5877852522924734,0.8090169943749473,-0.9510565162951536,0.30901699437494723
Car Loan,0.062155,Full-time,Low,795,Female,Married,PhD,0,59359.59433,1978.6531443333333,2021,2021,2021,2022,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,0.9945218953682734,-0.10452846326765333,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5000000000000001
Home Loan,0.070634819,Part-time,Low,519,Female,Married,High School,0,7778.1619600349995,162.0450408340625,2020,2020,2020,2020,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0,0.40673664307580015,0.9135454576426009,0.9945218953682733,0.10452846326765346,0.7431448254773945,-0.6691306063588579,-0.20791169081775898,0.9781476007338057
Car Loan,0.07723212,Self-employed,Medium,472,Male,Divorced,PhD,0,89826.07755831999,6909.698273716922,2021,2021,2021,2021,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,-0.4067366430758002,-0.9135454576426009,-0.4067366430758002,-0.9135454576426009,-0.20791169081775898,0.9781476007338057,-0.8660254037844386,0.5000000000000001
Car Loan,0.07092883,Part-time,High,689,Male,Married,PhD,0,40903.055733019995,1573.1944512699997,2021,2021,2021,2021,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,0.7431448254773941,0.6691306063588582,-0.9510565162951535,-0.30901699437494756,0.7431448254773941,0.6691306063588582,-0.587785252292473,-0.8090169943749475
Car Loan,0.046916509,Part-time,Low,801,Female,Divorced,High School,0,92650.017213482,7126.924401037077,2021,2021,2021,2021,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,-0.4067366430758002,-0.9135454576426009,-0.9510565162951536,0.30901699437494723,0.9945218953682733,0.10452846326765346,-0.9510565162951536,0.30901699437494723
Home Loan,0.093455993,Self-employed,Low,559,Male,Divorced,Master,0,49348.762420083,2243.1255645492274,2019,2019,2019,2020,-0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,-0.20791169081775907,-0.9781476007338057,-0.40673664307580015,0.913545457642601,-0.20791169081775898,0.9781476007338057,-0.40673664307580015,0.913545457642601
Education Loan,0.099123126,Self-employed,Low,430,Male,Divorced,PhD,0,67335.580068138,1202.4210726453216,2021,2021,2021,2022,-0.8660254037844385,-0.5000000000000004,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001,0.9945218953682733,0.10452846326765346,-0.8660254037844386,0.5000000000000001,0.20791169081775931,0.9781476007338057,0.9510565162951536,-0.30901699437494734
