customer_id,loan_id,loan_type,loan_amount,interest_rate,loan_term,employment_type,income_level,credit_score,gender,marital_status,education_level,default_status,application_date_year,approval_date_year,disbursement_date_year,due_date_year,application_date_month,approval_date_month,disbursement_date_month,due_date_month,application_date_day,approval_date_day,disbursement_date_day,due_date_day
3071,2613,Car Loan,16795,0.051851709,15,Self-employed,Medium,833,Male,Single,Master,0,2018,2018,2018,2018,4,4,4,8,5,23,24,14
2626,1523,Personal Loan,1860,0.089295672,56,Full-time,Medium,776,Female,Married,Bachelor,0,2022,2022,2023,2023,12,12,1,4,30,31,12,5
2254,19,Personal Loan,77820,0.070469564,51,Full-time,Low,697,Male,Divorced,High School,0,2019,2019,2019,2020,11,11,11,2,15,18,27,24
1182,1085,Car Loan,55886,0.062155,30,Full-time,Low,795,Female,Married,PhD,0,2021,2021,2021,2022,8,9,9,2,25,8,11,25
2367,2001,Home Loan,7265,0.070634819,48,Part-time,Low,519,Female,Married,High School,0,2020,2020,2020,2020,9,9,9,12,2,7,11,29
1446,2280,Car Loan,83386,0.07723212,13,Self-employed,Medium,472,Male,Divorced,PhD,0,2021,2021,2021,2021,3,3,3,6,17,17,29,25
2854,2133,Car Loan,38194,0.07092883,26,Part-time,High,689,Male,Married,PhD,0,2021,2021,2021,2021,9,9,10,12,4,21,4,18
1615,1309,Car Loan,88498,0.046916509,13,Part-time,Low,801,Female,Divorced,High School,0,2021,2021,2021,2021,4,4,5,10,17,24,7,24
888,665,Home Loan,45131,0.093455993,22,Self-employed,Low,559,Male,Divorced,Master,0,2019,2019,2019,2020,10,10,10,2,16,28,29,28
5,2119,Education Loan,61263,0.099123126,56,Self-employed,Low,430,Male,Divorced,PhD,0,2021,2021,2021,2022,8,8,9,2,7,25,1,9
1158,287,Personal Loan,17023,0.08977283,34,Full-time,High,412,Female,Divorced,Bachelor,0,2022,2022,2022,2023,7,7,7,1,4,19,23,4
777,1325,Personal Loan,42090,0.062934715,21,Full-time,Low,319,Male,Married,PhD,0,2019,2019,2019,2019,5,5,5,9,12,12,19,30
1961,1000,Education Loan,68221,0.076977627,14,Self-employed,Low,514,Male,Married,PhD,0,2021,2021,2021,2021,8,8,8,11,17,18,26,9
2938,46,Car Loan,65820,0.07990218,16,Full-time,Medium,609,Female,Divorced,Master,0,2021,2021,2021,2021,3,4,5,10,30,17,1,13
1550,3105,Car Loan,1769,0.088981916,14,Full-time,Medium,550,Female,Divorced,PhD,0,2018,2018,2018,2018,3,3,3,5,2,15,27,21
